stateId	scale	xOffset	yOffset
01	4951.69	-753.62	-415.97
02	2155.35	806	-328
04	3752.68	719.68	-196.46
05	6533.8	-487	-355.76
06	2155.35	627.42	40.83
08	4951.69	513.1	106.09
09	17242.79	-5595	1845
10	17242.79	-5174	952
11	15010.72	-4242.2	716.5
12	4310.7	-973.81	-651.4
13	4951.69	-1060.16	-377.71
15	5688	853.48	-1079.75
16	2844	603.55	419.18
17	3752.68	-442.62	135.94
18	5688	-865.87	234.78
19	7505.36	-428.14	543.33
20	5688	52.22	99.24
21	6533.8	-1095.56	41.6
22	5688	-500.79	-673.54
23	4951.69	-1734	883
24	9903.38	-2732	477
25	15010.72	-5016	1832
26	3752.68	-561.46	477.33
27	3752.68	-168.68	561.36
28	4951.69	-612.65	-436.85
29	4951.69	-338.69	46.03
30	4310.7	628.65	714.61
31	5688	137.22	357.24
32	2844	775.5	115.18
33	8621.4	-2841	1285
34	9903.38	-3020	751
35	3752.68	478.35	-228.39
36	5688	-1610	721
37	5688	-1418.35	-107.32
38	7505.36	212.98	1256.39
39	5688	-1157.33	316.14
40	5688	30	-272
40	5688	47.22	-262.76
41	4310.7	1237.43	601.25
42	7505.36	-1989	589
44	30021.44	-10167	3357
45	7505.36	-1804.62	-423.44
46	6533.8	188.35	723.27
47	5688	-946.35	-148.32
48	2155.35	76.28	-250.32
49	4310.7	761.5	172.48
50	8621.4	-2697	1283
51	6533.8	-1641.56	153.6
53	5688	1537.42	1103.17
54	6533.8	-1521.93	247.17
55	4951.69	-498.84	602.21
56	4951.69	636.1	474.09
