UnitId	SetorCode	Address	City	State	Zip	Latitude	Longitude	TotalMen	TotalWomen	Murder	NegM	Forcib	NonForcib	Robbe	AggA	Burgla	Vehic	Arson
431594001	2	55 Fruit Street	BOSTON	MA	02114	42.361792	-71.06774	0	20	0	0	2.67	0	0	9.67	2.33	0.33	0
168227001	2	550 HUNTINGTON AVE	BOSTON	MA	021155998	42.34308	-71.09268	3395	784	0	0	1	0	0	1.67	3.33	0.67	0
167057001	2	290 HUNTINGTON AVE	BOSTON	MA	02115	42.34308	-71.09268	430	383	0	0	0	0	4.67	1.67	3.67	0.67	0
167783001	2	300 THE FENWAY	BOSTON	MA	021155898	42.34308	-71.09268	384	4271	0	0	1	0	0	0.33	11	0	0
166984001	2	230 THE FENWAY	BOSTON	MA	021155596	42.34308	-71.09268	181	470	0	0	0	0	0	0	0	0	0
167358001	2	360 HUNTINGTON AVE	BOSTON	MA	02115	42.34308	-71.09268	10092	9961	0	0	7	0.33	4.67	4	18.67	0	0.33
167093001	2	424 BEACON ST	BOSTON	MA	021151129	42.34308	-71.09268	137	365	0	0	0	0	0	0	0	0	0
166656001	2	179 LONGWOOD AVE	BOSTON	MA	021155896	42.34308	-71.09268	2203	4345	0	0	0	0	0	0.67	5	0	0
165671001	2	400 THE FENWAY	BOSTON	MA	02115	42.34308	-71.09268	630	1806	0	0	1	0	0	1	4.33	0	0
164872001	2	320 NEWBURY ST	BOSTON	MA	021152703	42.34308	-71.09268	564	473	0	0	0	0	0	0	1	0	0
166674001	1	621 HUNTINGTON AVE	BOSTON	MA	021155801	42.34308	-71.09268	697	1567	0	0	1.67	0	0	0.33	2.67	0	0
164641001	3	122 COMMONWEALTH AVE	BOSTON	MA	021162901	42.349622	-71.07372	334	870	0	0	0	0	0	0	0	0	0
167215001	2	154 STUART ST	BOSTON	MA	02116	42.349622	-71.07372	408	556	0	0	0	0	1	0	0	0	0
165802001	2	118 BEACON ST	BOSTON	MA	02116	42.349622	-71.07372	504	1426	0	0	0	0	0	0.67	4.33	0	0
165662001	2	120 Boylston Street	Boston	MA	021164624	42.349622	-71.07372	1604	2957	0	0	4.67	0.33	0	0.33	6	0	0.67
165884001	2	41 Berkeley Street	Boston	MA	02116	42.349622	-71.07372	434	48	0	0	0	0	0	0	0	0	0
164988002	2	715 Albany Street	Boston	MA	02118	42.338724	-71.07276	13628	18783	0	0	0	0	0	0.67	1.33	0.33	0
165945003	2	90 Warren Street	Boston	MA	02119	42.324511	-71.08455	1512	625	0	0	0	0	0	0	0	0	0
167631001	4	1234 COLUMBUS AVE	ROXBURY CROSSING	MA	021203400	42.332099	-71.09651	804	1633	0	0	0.67	0.67	1	2.67	2.67	0.67	0
166638001	1	100 MORRISSEY BLVD	BOSTON	MA	021253393	42.316852	-71.05811	6664	9613	0	0	0.67	0	0	0	1.33	0	0.33
165112001	4	250 NEW RUTHERFORD AVE	BOSTON	MA	021292925	42.378619	-71.06495	6097	7926	0	0	0.33	0	0	0.33	1	1	0
167899002	2	Schrafft Center, 529 Main St., Suite 1M4	Boston	MA	02129	42.378619	-71.06495	1414	1841	0	0	0	0	0	0	0	0	0
166869001	2	Charlestown Navy Yard, 36 1ST Avenue	BOSTON	MA	021294557	42.378619	-71.06495	184	912	0	0	0	0	0	0	0.33	0	0
166027004	2	125 Arborway	Boston	MA	02130	42.309998	-71.11171	14478	13819	0	0	0	0	0	0	0.67	0	0
167093004	2	4199 Washington Street, Suite 2	Roslindale	MA	02131	42.284678	-71.13052	137	365	0	0	0	0	0	0	0	0	0
167020001	9	1505 COMMONWEALTH AVE	BRIGHTON	MA	021353605	42.348418	-71.15349	44	325	0	0	0	0	0	0.67	0	0	0
167677001	2	127 LAKE ST	BRIGHTON	MA	02135	42.348418	-71.15349	140	52	0	0	0	0	0	0	0	0	0
167093005	2	1415 Hyde Park Avenue	Hyde Park	MA	02136	42.252198	-71.12593	137	365	0	0	0	0	0	0	0	0	0
164614001	2	950 METROPOLITAN AVE	BOSTON	MA	02136	42.252198	-71.12593	55	41	0	0	0	0	0	0	0	0	0
166452001	2	29 EVERETT ST	CAMBRIDGE	MA	021382790	42.379146	-71.12803	929	4266	0	0	2	0	0.33	0.67	16.33	0.33	0
166027002	2	Massachusetts Hall	Cambridge	MA	02138	42.379146	-71.12803	14478	13819	0	0	0	0	0	0.33	5	0.33	0
166027001	2	Massachusetts Hall	Cambridge	MA	02138	42.379146	-71.12803	14478	13819	0	0	29	0	1	3.33	29.33	2.33	0.33
165705001	2	99 BRATTLE ST	CAMBRIDGE	MA	021383494	42.379146	-71.12803	24	46	0	0	0.33	0	0	0	1.33	0	0
165167001	2	1000 MASSACHUSETTS  AVENUE	CAMBRIDGE	MA	02138	42.379146	-71.12803	880	2234	0	0	0	0	0	0	1.33	0	0
189088003	2	27 Garden Street	Cambridge	MA	02138	42.379146	-71.12803	1028	1327	0	0	0	0	0	0	3.67	0	0
166683001	2	77 MASSACHUSETTS AVE	CAMBRIDGE	MA	021394307	42.364347	-71.10431	7139	4162	0.33	0	9.33	0	1	0.67	12.67	1.67	1
164368001	2	1 Education St	Cambridge	MA	021411805	42.370519	-71.08443	440	201	0	0	0	0	0	0.67	0.33	0	0
452054001	6	215 First St	Cambridge	MA	02142	42.362297	-71.08412	247	241	0	0	0	0	0	0	0	0	0
165556001	9	5 Middlesex Ave	Somerville	MA	02145	42.390846	-71.09225	111	220	0	0	0	0	0	0.33	0	0.33	0
442815001	9	2 FLORENCE ST	MALDEN	MA	02148	42.428549	-71.06059	66	279	0	0	0	0	0	0	0	0	0
373678001	9	492-500 MAIN ST	MALDEN	MA	02148	42.428549	-71.06059	84	84	0	0	0	0	0	0	0	0	0
444769001	9	380-388 PLEASANT STREET	MALDEN	MA	021488143	42.428549	-71.06059	41	242	0	0	0	0	0	0	1.67	0	0
407179001	9	347 PLEASANT STREET	MALDEN	MA	02148	42.428549	-71.06059	6	149	0	0	0	0	0	0	0	0	0
445373001	9	70 Everett Ave	Chelsea	MA	02150	42.396382	-71.03352	71	363	0	0	0	0	0	0	0	0	0
165112002	4	175 Hawthorne Street	Chelsea	MA	02150	42.396382	-71.03352	6097	7926	0	0	0.67	0	0	0	0	0	0
362782001	9	222 BOSTON AVENUE	MEDFORD	MA	02155	42.419846	-71.10942	2	169	0	0	0	0	0.33	0	0	0	0
166407001	5	170 GOVERNORS AVE	MEDFORD	MA	021551643	42.419846	-71.10942	37	265	0	0	0	0	0	0	0.33	0	0
168148001	2	419 Boston Avenue	Medford	MA	021555555	42.419846	-71.10942	4945	5927	0	0	6.33	0	1	3.67	15.67	0.33	1
