UNITID_P	INSTNM	BRANCH	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE
431594001	Massachusetts General Hospital Dietetic Internship	Main Campus	55 Fruit Street	BOSTON	MA	02114	42.361792	-71.06774
168227001	Wentworth Institute of Technology	Main Campus	550 HUNTINGTON AVE	BOSTON	MA	021155998	42.34308	-71.09268
167057001	The New England Conservatory of Music	New England Conservatory of Music	290 HUNTINGTON AVE	BOSTON	MA	02115	42.34308	-71.09268
167783001	Simmons College	Main Campus	300 THE FENWAY	BOSTON	MA	021155898	42.34308	-71.09268
166984001	School of the Museum of Fine Arts-Boston	Main Campus	230 THE FENWAY	BOSTON	MA	021155596	42.34308	-71.09268
167358001	Northeastern University	Main Campus	360 HUNTINGTON AVE	BOSTON	MA	02115	42.34308	-71.09268
167093001	New England College of Optometry	Main Campus	424 BEACON ST	BOSTON	MA	021151129	42.34308	-71.09268
166656001	MCPHS University	Main Campus, Boston	179 LONGWOOD AVE	BOSTON	MA	021155896	42.34308	-71.09268
165671001	Emmanuel College	Main Campus	400 THE FENWAY	BOSTON	MA	02115	42.34308	-71.09268
164872001	Boston Architectural College	Boston Architectural College	320 NEWBURY ST	BOSTON	MA	021152703	42.34308	-71.09268
166674001	Massachusetts College of Art and Design	Main Campus	621 HUNTINGTON AVE	BOSTON	MA	021155801	42.34308	-71.09268
164641001	Bay State College	Main Campus	122 COMMONWEALTH AVE	BOSTON	MA	021162901	42.349622	-71.07372
167215001	New England School of Law	Main Campus	154 STUART ST	BOSTON	MA	02116	42.349622	-71.07372
165802001	Fisher College	Main Campus	118 BEACON ST	BOSTON	MA	02116	42.349622	-71.07372
165662001	Emerson College	Main Campus	120 Boylston Street	Boston	MA	021164624	42.349622	-71.07372
165884001	Benjamin Franklin Institute of Technology	BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY	41 Berkeley Street	Boston	MA	02116	42.349622	-71.07372
164988002	Boston University	Boston University Medical Campus	715 Albany Street	Boston	MA	02118	42.338724	-71.07276
165945003	Gordon-Conwell Theological Seminary	Boston Campus	90 Warren Street	Boston	MA	02119	42.324511	-71.08455
167631001	Roxbury Community College	Main Campus	1234 COLUMBUS AVE	ROXBURY CROSSING	MA	021203400	42.332099	-71.09651
166638001	University of Massachusetts-Boston	Harbor Campus	100 MORRISSEY BLVD	BOSTON	MA	021253393	42.316852	-71.05811
165112001	Bunker Hill Community College	Main Campus	250 NEW RUTHERFORD AVE	BOSTON	MA	021292925	42.378619	-71.06495
167899002	Springfield College	SHS Boston, MA	Schrafft Center, 529 Main St., Suite 1M4	Boston	MA	02129	42.378619	-71.06495
166869001	MGH Institute of Health Professions	Main Campus	Charlestown Navy Yard, 36 1ST Avenue	BOSTON	MA	021294557	42.378619	-71.06495
166027004	Harvard University	Arnold Arboretum	125 Arborway	Boston	MA	02130	42.309998	-71.11171
167093004	New England College of Optometry	New England Eye Roslindale	4199 Washington Street, Suite 2	Roslindale	MA	02131	42.284678	-71.13052
167020001	Everest Institute-Brighton	Main Campus	1505 COMMONWEALTH AVE	BRIGHTON	MA	021353605	42.348418	-71.15349
167677001	Saint John's Seminary	Main Campus	127 LAKE ST	BRIGHTON	MA	02135	42.348418	-71.15349
167093005	New England College of Optometry	Renaissance Vision Center	1415 Hyde Park Avenue	Hyde Park	MA	02136	42.252198	-71.12593
164614001	Boston Baptist College	Boston Baptist College	950 METROPOLITAN AVE	BOSTON	MA	02136	42.252198	-71.12593
166452001	Lesley University	Doble Campus	29 EVERETT ST	CAMBRIDGE	MA	021382790	42.379146	-71.12803
166027002	Harvard University	Longwood Campus	Massachusetts Hall	Cambridge	MA	02138	42.379146	-71.12803
166027001	Harvard University	Cambridge Campus	Massachusetts Hall	Cambridge	MA	02138	42.379146	-71.12803
165705001	Episcopal Divinity School	Episcopal Divinity School	99 BRATTLE ST	CAMBRIDGE	MA	021383494	42.379146	-71.12803
165167001	Cambridge College	Main Campus	1000 MASSACHUSETTS  AVENUE	CAMBRIDGE	MA	02138	42.379146	-71.12803
189088003	Bard College	Longy School of Music	27 Garden Street	Cambridge	MA	02138	42.379146	-71.12803
166683001	Massachusetts Institute of Technology	MIT	77 MASSACHUSETTS AVE	CAMBRIDGE	MA	021394307	42.364347	-71.10431
164368001	Hult International Business School	Boston Campus	1 Education St	Cambridge	MA	021411805	42.370519	-71.08443
452054001	Le Cordon Bleu College of Culinary Arts-Cambridge	Le Cordon Bleu College of Culinary Arts	215 First St	Cambridge	MA	02142	42.362297	-71.08412
165556001	Lincoln Technical Institute-Somerville	Main Campus	5 Middlesex Ave	Somerville	MA	02145	42.390846	-71.09225
442815001	The Salter School-Malden Campus	Malden Campus	2 FLORENCE ST	MALDEN	MA	02148	42.428549	-71.06059
373678001	New England Hair Academy	Main Campus	492-500 MAIN ST	MALDEN	MA	02148	42.428549	-71.06059
444769001	Medical Professional Institute	Main Campus	380-388 PLEASANT STREET	MALDEN	MA	021488143	42.428549	-71.06059
407179001	Empire Beauty School-Malden	Empire Beauty School, Malden MA	347 PLEASANT STREET	MALDEN	MA	02148	42.428549	-71.06059
445373001	Everest Institute-Chelsea	Everest Institute	70 Everett Ave	Chelsea	MA	02150	42.396382	-71.03352
165112002	Bunker Hill Community College	Chelsea Campus	175 Hawthorne Street	Chelsea	MA	02150	42.396382	-71.03352
362782001	Elizabeth Grady School of Esthetics and Massage Therapy	Main Campus	222 BOSTON AVENUE	MEDFORD	MA	02155	42.419846	-71.10942
166407001	Lawrence Memorial Hospital School of Nursing	Main Campus	170 GOVERNORS AVE	MEDFORD	MA	021551643	42.419846	-71.10942
168148001	Tufts University	Medford/Somerville Campus	419 Boston Avenue	Medford	MA	021555555	42.419846	-71.10942
166805001	Massachusetts School of Barbering	Main Campus	64 Ross Way	QUINCY	MA	02169	42.250739	-70.99593
166595001	Mansfield Beauty Schools-Quincy	Main Campus	200 PARKING WAY	QUINCY	MA	02169	42.250739	-70.99593
167525001	Quincy College	Main Campus	1250 Hancock Street	QUINCY	MA	02169	42.250739	-70.99593
165644001	Eastern Nazarene College	Main Campus	23 E ELM AVE	QUINCY	MA	021702999	42.267049	-71.01834
440420001	University of Phoenix-Boston Campus	Boston Main Campus	19 Granite Street Suite 300	BRAINTREE	MA	02184	42.209555	-70.99968
165264001	Laboure College	Laboure College	303 Adams Street	Milton	MA	02186	42.253074	-71.07496
165529001	Curry College	Main Campus	1071 BLUE HILL AVE	MILTON	MA	021862395	42.253074	-71.07496
451264002	Millennium Training Institute	Millennium Training Institute - Satellite Location	263 Summer Street	Boston	MA	02210	42.347974	-71.04463
167224001	New England School of Photography	Main Campus	537 COMMONWEALTH AVE	BOSTON	MA	02215	42.346997	-71.10215
168290001	Wheelock College	Main Campus	200 THE RIVERWAY	BOSTON	MA	022154176	42.346997	-71.10215
164933001	The Boston Conservatory	Main Campus	8 THE FENWAY	BOSTON	MA	02215	42.346997	-71.10215
167093003	New England College of Optometry	New England Eye Commonwealth	930 Commonwealth Avenue, Suite 2A	Boston	MA	02215	42.346997	-71.10215
166452002	Lesley University	Art Institute of Boston	700 Beacon Street	Boston	MA	02215	42.346997	-71.10215
164988001	Boston University	Boston University Charles River Campus	1 Silber Way	Boston	MA	02215	42.346997	-71.10215
164748001	Berklee College of Music	Main Campus	1140 BOYLSTON ST	BOSTON	MA	02215	42.346997	-71.10215
433466001	Sullivan and Cogliano Training Center	Sullivan and Cogliano Training Center	460 Belmont Street	Brockton	MA	02301	42.0794	-71.03441
425889001	Lincoln Technical Institute-Brockton	Brockton Campus	365 WESTGATE DRIVE	BROCKTON	MA	023011818	42.0794	-71.03441
419147001	Ailano School of Cosmetology	Main Campus	541 WEST ST	BROCKTON	MA	02301	42.0794	-71.03441
166823001	Massasoit Community College	Main Campus	ONE MASSASOIT BLVD	BROCKTON	MA	023023996	42.08715	-71.00222
165060001	Signature Healthcare Brockton Hospital School of Nursing	Main Campus	680 CENTRE ST	BROCKTON	MA	023023395	42.08715	-71.00222
165024001	Bridgewater State University	Main Campus	131 Summer Street	BRIDGEWATER	MA	023250001	41.98725	-70.972786
166823003	Massasoit Community College	Middleborough Campus	49 Union Street	Middleboro	MA	023462245	41.889582	-70.89406
167996001	Stonehill College	Main Campus	320 WASHINGTON ST	EASTON	MA	023577180	42.064499	-71.087091
167525002	Quincy College	Quincy College, Plymouth Campus	36 Cordage Park Suite 228	Plymouth	MA	02360	41.894676	-70.61999
445656001	Spa Tech Institute-Plymouth	Spa Tech Institute	59 INDUSTRIAL PARK RD	PLYMOUTH	MA	02362	41.970474	-70.701357
167871001	Southeastern Technical Institute	Southeastern Technical Institute	250 FOUNDRY ST	SOUTH EASTON	MA	02375	42.029749	-71.10191
166319001	La Baron Hairdressing Academy-Brockton	LaBaron Hairdressing Academy	240 LIBERTY ST	BROCKTON	MA	02401	42.079399	-71.03459
167321001	The New England Institute of Art	The New England Institute of Art	10 Brookline Place West, 2nd Floor	Brookline	MA	024457295	42.324397	-71.13933
167251001	Newbury College	Main Campus	129 FISHER AVE	BROOKLINE	MA	02445	42.324397	-71.13933
166054001	Hellenic College-Holy Cross Greek Orthodox School of Theology	Main Campus	50 GODDARD AVE	BROOKLINE	MA	024457496	42.324397	-71.13933
164915001	Boston Graduate School of Psychoanalysis Inc	Main Campus	1581 BEACON ST	BROOKLINE	MA	02446	42.344747	-71.12141
164739001	Bentley University	Bentley University	175 FOREST ST	WALTHAM	MA	024524705	42.392496	-71.22153
165015001	Brandeis University	Main Campus	415 South Street	Waltham	MA	024549110	42.356719	-71.250479
164580001	Babson College	Main Campus	231 Forest Street	Babson Park	MA	024570310	42.180048	-71.08923
167181001	New England School of Acupuncture	150 California Street	150 California Street	Newton	MA	02458	42.354727	-71.18809
166045001	Hebrew College	Hebrew College	160 Herrick Road	Newton Centre	MA	024592237	42.321197	-71.193
164474001	Andover Newton Theological School	Andover Newton Theological School	210 HERRICK RD	NEWTON CENTRE	MA	024592243	42.321197	-71.193
166948001	Mount Ida College	Main Campus	777 DEDHAM ST	NEWTON	MA	02459	42.321197	-71.193
166717001	Massachusetts School of Professional Psychology	Main Campus	One Wells Ave	Newton	MA	02459	42.321197	-71.193
166391001	Lasell College	Main Campus	1844 COMMONWEALTH AVE	Auburndale	MA	024662716	42.345833	-71.24735
167455001	Pine Manor College	Pine manor College	400 HEATH ST	CHESTNUT HILL	MA	02467	42.321997	-71.17314
164924001	Boston College	Main Campus	140 COMMONWEALTH AVE	CHESTNUT HILL	MA	024673961	42.321997	-71.17314
166975001	Cortiva Institute-Boston	Main Campus	103 Morse Street	Watertown	MA	02472	42.371296	-71.18196
166647001	Massachusetts Bay Community College	Main Campus	50 OAKLAND ST	WELLESLEY HILLS	MA	024815399	42.313329	-71.27649
168218001	Wellesley College	Main Campus	106 CENTRAL ST	WELLESLEY	MA	024818203	42.313329	-71.27649
441982001	Franklin W Olin College of Engineering	Main Campus	1000 Olin Way	Needham	MA	024921200	42.278247	-71.23388
167598001	Regis College	Regis College	235 WELLESLEY ST	WESTON	MA	024931571	42.358663	-71.28831
167464001	Blessed John XXIII National Seminary	Main Campus	558 SOUTH AVE	WESTON	MA	024932699	42.358663	-71.28831
373711001	Upper Cape Cod Regional Technical School	Upper Cape Cod Regional Technical School	220 SANDWICH RD	BOURNE	MA	02532	41.751841	-70.59764
166692001	Massachusetts Maritime Academy	massachusetts maritime academy	101 ACADEMY DR	BUZZARDS BAY	MA	025321803	41.751841	-70.59764
441478001	National Graduate School of Quality Management	National Graduate School of Quality Management	186 Jones Rd.	Falmouth	MA	02540	41.56105	-70.61968
166638002	University of Massachusetts-Boston	Nantucket Branch Campus	180 Polpis RD	Nantucket	MA	02554	41.276758	-70.09089
381635001	Empire Beauty School-Hyannis	Empire Beauty School- Hyannis, MA	259 NORTH STREET	HYANNIS	MA	02601	41.654741	-70.2895
165194001	Cape Cod Community College	Main Campus	2240 IYANNOUGH RD	WEST BARNSTABLE	MA	026681599	41.70631	-70.37048
165024002	Bridgewater State University	Attleboro Campus	11 Field Road	Attleboro	MA	02703	41.928099	-71.31456
167987008	University of Massachusetts-Dartmouth	CUSP Fair Haven	200 Mill Road Suite 150	Fairhaven	MA	02719	41.634152	-70.8814
165033001	Bristol Community College	Main Campus	777 Elsbree St	Fall River	MA	027207399	41.716952	-71.13986
447494001	Salter School-Fall River	Main Campus	82 Hartwell Street	Fall River	MA	02721	41.685452	-71.15425
165750001	Rob Roy Academy-Fall River	Fall River Campus	260 S Main St	FALL RIVER	MA	027215330	41.685452	-71.15425
165608001	Diman Regional Technical Institute	Main Campus	251 STONEHAVEN RD	FALL RIVER	MA	02723	41.691369	-71.13234
166328001	La Baron Hairdressing Academy-New Bedford	Main Campus	281 UNION ST	NEW BEDFORD	MA	02740	41.634754	-70.93752
167987002	University of Massachusetts-Dartmouth	School of Marine Science Technology	Rodney French BLVD	New Bedford	MA	02740	41.634754	-70.93752
166018001	Hampshire College	HAMPSHIRE COLLEGE	893 WEST ST	AMHERST	MA	010023359	42.377651	-72.50323
164465001	Amherst College	Main Campus	Boltwood Avenue	AMHERST	MA	010025000	42.377651	-72.50323
166629001	University of Massachusetts-Amherst	Main Campus	374 Whitmore Administration Building	Amherst	MA	01003	42.369562	-72.63599
167394001	College of Our Lady of the Elms	College of Our Lady of the Elms	291 SPRINGFIELD ST	CHICOPEE	MA	010132839	42.161492	-72.60316
466523001	Salter College-Chicopee	Main Campus	645 Shawinigan Drive	Chicopee	MA	010203744	42.175992	-72.57265
130174005	Porter and Chester Institute of Stratford	Porter & Chester Institute - Chicopee	134 DULONG CIR	CHICOPEE	MA	01022	42.196666	-72.55606
166133001	Holyoke Community College	Main Campus	303 HOMESTEAD AVE	HOLYOKE	MA	01040	42.201891	-72.6242
431099001	Jolie Hair and Beauty Academy-Ludlow	Main Campus	44 SEWALL STREET	LUDLOW	MA	01056	42.174893	-72.47068
445993004	Marinello Schools of Beauty-Niantic	Marinello School of Beauty - Northampton	58 Pleasant St, #2	Northampton	MA	01060	42.324539	-72.63561
167835001	Smith College	Main Campus	ELM ST	NORTHAMPTON	MA	01063	42.317939	-72.640234
166939001	Mount Holyoke College	Main Campus	50 College Street	SOUTH HADLEY	MA	01075	42.234891	-72.58243
168263001	Westfield State University	Main Campus	577 WESTERN AVE	WESTFIELD	MA	010861630	42.173428	-72.847964
166294001	Kay Harvey Academy of Hair Design	Main Campus	11 CENTRAL ST	WEST SPRINGFIELD	MA	01089	42.112793	-72.64066
451255001	DiGrigoli School of Cosmetology	DiGrigoli School of Cosmetology	1578 Riverdale St	West Springfield	MA	01089	42.112793	-72.64066
166586001	Mansfield Beauty Schools-Springfield	Main Campus	266 BRIDGE ST	SPRINGFIELD	MA	01103	42.103294	-72.59112
438805002	Branford Hall Career Institute-Springfield Campus	Branford Hall Career Institute - Springfield Tech	189 Brookdale Drive	Springfield	MA	01104	42.130343	-72.57338
438805001	Branford Hall Career Institute-Springfield Campus	Branford Hall Career Institute	112 INDUSTRY AVENUE	SPRINGFIELD	MA	01104	42.130343	-72.57338
167905001	Springfield Technical Community College	Main Campus	1 ARMORY SQ	SPRINGFIELD	MA	011051296	42.096644	-72.5798
164632001	Bay Path College	Main Campus	588 LONGMEADOW ST	LONGMEADOW	MA	01106	42.050395	-72.5712
