city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
311 Water Street	NV	89015	36.030927	-114.96787	0	0	0	0	0	0	0	0	0	0	0	0
Abbeville	SC	29320	34.957898	-81.99252	0	0	0	0	0	0	0	0	0	0	0	0
Aberdeen	SD	57401	45.46932	-98.49646	0	0	25	0	0	0	108.33	0	0	0	200	166.67
Aberdeen	WA	98520	46.972965	-123.81923	0	0	16.67	0	0	0	183.33	16.67	0	0	0	0
Abilene	TX	79601	32.500532	-99.69803	0	0	0	0	13.33	20	346.67	93.33	0	0	73.33	100
Abilene	TX	79602	32.40769	-99.72107	0	0	0	0	0	0	33.33	33.33	0	0	33.33	66.67
Abilene	TX	79605	32.432975	-99.77096	0	0	0	0	0	0	0	0	0	0	0	0
Abilene	TX	79697	32.302132	-99.890737	0	0	0	0	0	0	350	0	0	0	0	0
Abilene	TX	79698	32.475074	-99.73484	0	0	16.67	0	0	33.33	783.33	16.67	0	50	33.33	83.33
Abindgon	VA	24212	36.690942	-81.970764	0	0	0	0	0	0	0	0	0	0	0	0
Abingdon	VA	24210	36.728639	-82.00845	0	0	0	0	0	0	0	0	0	0	0	0
Abingdon	VA	24212	36.690942	-81.970764	0	0	0	0	0	0	0	0	0	0	0	0
Abington	PA	19001	40.127907	-75.12695	0	0	0	0	0	0	33.33	0	0	0	0	0
Acworth	GA	30102	34.097998	-84.6183	0	0	0	0	0	0	0	0	0	0	0	0
Ada	OH	45810	40.774039	-83.81821	0	0	83.33	0	0	0	750	0	0	0	283.33	466.67
Ada	OK	74820	34.780243	-96.68761	0	0	0	0	0	8.33	283.33	16.67	0	0	175	141.67
Adams	WI	53910	43.908737	-89.80722	0	0	0	0	0	0	0	0	0	0	0	0
Adamsville	TN	38310	35.241412	-88.38425	0	0	0	0	0	0	0	0	0	0	0	0
Addison	IL	60101	41.931573	-88.00222	0	0	0	0	0	8.33	25	16.67	16.67	33.33	125	33.33
Adelphi	MD	20783	38.98941	-76.97294	0	0	16.67	0	0	0	16.67	0	0	0	33.33	0
Adelphia	NJ	07710	40.302718	-74.24928	0	0	0	0	0	0	0	0	0	0	0	0
Adrian	MI	49221	41.900927	-84.04585	0	0	95.24	4.76	0	57.14	719.05	19.05	9.52	0	119.05	242.86
Afton	OK	74331	36.618326	-94.93424	0	0	0	0	0	0	0	0	0	16.67	100	16.67
Agency Village	SD	57262	45.667565	-97.04528	0	0	0	0	0	0	33.33	0	0	0	0	0
Ahoskie	NC	27910	36.293352	-76.98612	0	0	8.33	0	0	0	8.33	0	0	41.67	50	33.33
Aiea	HI	96701	21.389167	-157.93091	0	0	0	0	0	0	0	0	0	0	0	0
Aiken	SC	29801	33.569885	-81.71368	0	0	44.44	0	0	44.44	588.89	88.89	0	11.11	233.33	888.89
Aiken	SC	29803	33.486049	-81.70946	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44306	41.046055	-81.49039	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44310	41.107655	-81.50091	0	0	0	0	16.67	0	0	0	0	0	0	0
Akron	OH	44313	41.123588	-81.57129	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44319	40.990922	-81.52953	0	0	0	0	0	0	50	0	0	0	0	0
Akron	OH	44320	41.083155	-81.57022	0	0	0	0	0	0	60	0	0	0	0	0
Akron	OH	44321	41.102587	-81.65092	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44325	41.076425	-81.51026	0	0	400	0	283.33	50	916.67	983.33	33.33	166.67	2833.33	1883.33
Akron	OH	44333	41.144661	-81.61948	0	0	0	0	0	0	0	0	0	0	33.33	0
Alachua	FL	32615	29.801949	-82.48872	0	0	0	0	0	0	0	0	0	0	0	0
Alameda	CA	94501	37.769528	-122.25937	0	0	8.33	0	41.67	83.33	100	33.33	0	16.67	25	8.33
Alameda	CA	94510	38.071769	-122.15517	0	0	0	0	0	0	33.33	0	0	0	0	0
Alamogordo	NM	88310	32.839921	-105.97561	0	0	0	0	8.33	0	75	8.33	0	0	25	0
Alamosa	CO	81101	37.471802	-105.83471	0	0	0	0	0	0	0	0	0	0	0	50
Alamosa	CO	81102	37.476026	-105.881779	0	0	200	0	66.67	50	1216.67	0	133.33	116.67	2400	1350
Albany	GA	31701	31.580774	-84.16044	0	0	33.33	0	0	0	33.33	233.33	0	16.67	133.33	0
Albany	GA	31705	31.552483	-84.09678	0	0	100	0	150	116.67	700	250	0	333.33	1783.33	850
Albany	GA	31707	31.568073	-84.22644	0	0	0	0	33.33	16.67	216.67	100	0	16.67	50	250
Albany	NY	12203	42.678112	-73.82983	0	0	66.67	0	33.33	44.44	788.89	0	0	0	22.22	0
Albany	NY	12204	42.683727	-73.73329	0	0	33.33	0	33.33	116.67	16.67	0	0	0	250	0
Albany	NY	12205	42.713328	-73.8179	0	0	0	0	3.33	6.67	10	0	0	0	43.33	0
Albany	NY	12206	42.669645	-73.77719	0	0	0	0	4.17	0	8.33	4.17	8.33	0	0	0
Albany	NY	12208	42.654978	-73.80053	0	0	29.63	0	7.41	29.63	51.85	0	0	0	11.11	0
